央视频道,#genre#
更新日期: 更新日期: 2026-2-9 18:06:16,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260209175739357b44a9910b43458dbe55e3738a7d02&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260209175739&Channel_ID=0116_2600036500-99000-201600010014683&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=182.90.225.242&SecurityKey=20260209175739&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=4ed958304165bd207020f2583e535c99&sv=10004&ct=android
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260209175739357b44a9910b43458dbe55e3738a7d02&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260209175739&Channel_ID=0116_2600036500-99000-201600010014683&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=182.90.225.242&SecurityKey=20260209175739&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=4ed958304165bd207020f2583e535c99&sv=10004&ct=android
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=2026020917563805f6d7af82ff46dc862dbfa96ba7f045&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260209175638&Channel_ID=0116_2600036500-99000-201600010014681&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.137.36.112&SecurityKey=20260209175638&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.2.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=4babacf87d2a979bc4aaed91e01b4d77&sv=10004&ct=android
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=20260209175709815f9ea4949842a1b8c4de1415c5e6c0&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260209175709&Channel_ID=0116_2600036500-99000-201600010014682&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.134.87.68&SecurityKey=20260209175709&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.2.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=965ae3acb017492e6a37c3b87a73a1f3&sv=10004&ct=android
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2财经,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202602060901440319625F0A338763618F-7sT6Ki&wsSecret=3dac956b4fbe07d7ef6dfef53eaa5ab2&wsTime=69853d78
CCTV2财经,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=20260209175302da547573258d47aa8a87687ba3a85611&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260209175302&Channel_ID=0116_2600036500-99000-201600010014674&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=219.151.28.67&SecurityKey=20260209175302&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d9bb8636aa3aa665a11af7171cc74527&sv=10004&ct=android
CCTV2财经,http://pull-flv-f1.douyincdn.com/media/stream-695106910011261612.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202602060901440319625F0A338763618F-7sT6Ki&unique_id=stream-695106910011261612_684_flv&wsSecret=bbf37003c0e4945f50c24773724b6ae3&wsTime=69853d78
CCTV3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=2026020917523108f3d4e19614407d9de977dca8c15757&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260209175231&Channel_ID=0116_2600036500-99000-201600010014673&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=219.151.28.88&SecurityKey=20260209175231&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=8b49e263bcb99c5d69dbd1406347eb4d&sv=10004&ct=android
CCTV4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=2026020917520093e827917f7d454ea9748e9c7b9e00c8&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260209175200&Channel_ID=0116_2600036500-99000-201600010014672&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=219.151.28.90&SecurityKey=20260209175200&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d929a9c2f4a5b3036292a7f2512b9776&sv=10004&ct=android
